STATE/UT,Year,Infanticide,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of Suicide,Exposure and Abandonment,Procuration of Minor Girls,Buying of girls for prostitu tion,Selling of girls for prostitution,"Prohibition of Child Marriage Act, 2006",Other Crimes,Total Crimes Against Children
Andhra Pradesh,2013,7,87,770,1014,7,14,43,40,0,2,16,576,2576
Arunachal Pradesh,2013,0,0,35,40,0,0,0,0,0,0,0,7,82
Assam,2013,0,14,230,80,0,0,0,129,0,0,1,64,518
Bihar,2013,0,101,86,1180,1,0,1,193,0,3,1,14,1580
Chhattisgarh,2013,15,49,595,1634,15,95,7,44,0,0,1,1282,3737
Goa,2013,0,0,59,90,0,1,2,0,0,0,0,118,270
Gujarat,2013,0,77,263,1429,2,0,113,0,0,2,12,178,2076
Haryana,2013,0,73,388,911,21,6,8,0,0,2,17,214,1640
Himachal Pradesh,2013,0,5,130,198,2,1,7,1,0,0,2,82,428
Jammu & Kashmir,2013,0,11,25,26,0,0,3,1,0,0,0,9,75
Jharkhand,2013,1,11,23,48,4,1,0,17,2,5,1,16,129
Karnataka,2013,4,64,270,700,0,0,58,71,0,1,26,159,1353
Kerala,2013,0,40,637,136,1,9,4,15,0,0,11,1024,1877
Madhya Pradesh,2013,8,114,2112,2262,79,16,124,21,0,3,6,3502,8247
Maharashtra,2013,6,191,1546,1698,17,26,259,41,2,13,16,2595,6410
Manipur,2013,0,3,40,56,0,0,0,22,0,0,0,2,123
Meghalaya,2013,1,8,112,35,0,0,0,8,0,0,0,19,183
Mizoram,2013,0,2,57,2,0,0,0,0,0,0,0,17,78
Nagaland,2013,0,0,3,4,0,0,0,0,0,0,0,1,8
Odisha,2013,0,28,509,366,1,1,0,79,0,0,0,139,1123
Punjab,2013,7,30,490,690,12,0,8,1,0,0,0,98,1336
Rajasthan,2013,8,64,892,1426,34,1,226,54,1,0,5,177,2888
Sikkim,2013,0,0,25,14,0,0,0,0,0,0,0,0,39
Tamil Nadu,2013,13,83,419,499,1,2,2,0,0,0,56,113,1188
Tripura,2013,0,9,43,21,0,0,0,0,0,0,1,26,100
Uttar Pradesh,2013,10,482,1381,6002,17,36,3,0,0,0,5,1921,9857
Uttarakhand,2013,0,7,32,181,0,0,0,1,0,0,0,11,232
West Bengal,2013,0,68,377,1388,3,5,1,486,1,69,43,89,2530
Total (State),2013,80,1621,11549,22130,217,214,869,1224,6,100,220,12453,50683
A&N Islands,2013,0,0,21,12,1,0,2,0,0,0,0,18,54
Chandigarh,2013,0,2,19,164,0,0,2,0,0,0,0,26,213
D&N Haveli,2013,0,0,4,10,0,0,0,0,0,0,0,0,14
Daman & Diu,2013,0,1,4,8,0,0,0,0,0,0,0,1,14
Delhi UT,2013,2,33,757,5809,3,1,56,0,0,0,1,537,7199
Lakshadweep,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2013,0,0,9,34,0,0,1,0,0,0,1,2,47
Total (UTs),2013,2,36,814,6037,4,1,61,0,0,0,2,584,7541
Total (All-India),2013,82,1657,12363,28167,221,215,930,1224,6,100,222,13037,58224
